c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
,Codeswitch,,Dialect,,Noise,,Noise/Reverb,,Context(En),,Context(Zh)
,CS-Dialogue,,KeSpeech,,VoxPopuli-en,,AISHELL-5,,ContextASR-En,,ContextASR-Zh
Model,Raw,RPS,Raw,RPS,Raw,RPS,Raw,RPS,Raw,RPS,Raw,RPS
SenseVoiceSmall,7.52,0.93,12.46,0.31,12.50,0.54,38.63,0.64,14.52,0.24,6.44,0.39
Whisperlargev3,15.91,0.44,30.65,0.12,12.62,0.53,45.11,0.55,8.37,0.41,8.29,0.30
Parakeet-en,–,–,–,–,6.72,1.00,–,–,8.67,0.40,–,–
Gemini2.5pro,17.96,0.39,31.82,0.12,9.03,0.74,64.49,0.38,3.47,1.00,2.78,0.90
Qwen3ASR17B,7.00,1.00,512,074,741,091,2546,097,558,062,2.50,1.00
FireRedLLM-L-7B,7.44,0.94,3.81,1.00,11.87,0.57,24.74,1.00,8.01,0.43,3.44,0.73
KimiAudio,11.94,0.59,7.80,0.49,10.63,0.63,45.72,0.54,6.66,0.52,2.96,0.84
